nm	lamp	intensity
588	training	232.9666667
589	training	234.5733333
590	training	234.6966667
591	training	236.02
592	training	236.3866667
593	training	237.7866667
594	training	238
595	training	239.39
596	training	241.0633333
597	training	241.7433333
598	training	243.035
599	training	243.1933333
600	training	244.5633333
601	training	244.9866667
602	training	246.8433333
603	training	247.6733333
604	training	249.1466667
605	training	250.19
606	training	251.59
607	training	252.6333333
608	training	254.4766667
609	training	255.63
610	training	257.4533333
611	training	257.58
612	training	260.26
613	training	260.89
614	training	262.8966667
615	training	263.0966667
616	training	265.4033333
617	training	266.1133333
618	training	267.1933333
619	training	267.28
620	training	268.4266667
621	training	269.9
622	training	270.23
623	training	271.1433333
624	training	272.2066667
625	training	273.02
626	training	273.8
627	training	274.8366667
628	training	275.24
629	training	276.9033333
630	training	278.0066667
631	training	278.7566667
632	training	280.2733333
633	training	282.18
634	training	282.67
635	training	284.3266667
636	training	286.5966667
637	training	287.5533333
638	training	289.3933333
639	training	290.6266667
640	training	291.8733333
641	training	294.05
642	training	295.5433333
643	training	296.4
644	training	298.4266667
645	training	300.14
646	training	300.5933333
647	training	302.4166667
648	training	304.5633333
649	training	306.77
650	training	306.8866667
651	training	309.42
652	training	311.0133333
653	training	311.7666667
654	training	313.3166667
655	training	313.9166667
656	training	316.32
657	training	317.1
658	training	318.6266667
659	training	320.0366667
660	training	321.36
661	training	322.1266667
662	training	324.1
663	training	324.9
664	training	325.7966667
665	training	325.79
666	training	328.2625
667	training	328.9766667
668	training	330.55
669	training	330.6333333
670	training	331.3566667
671	training	331.55
672	training	332.58
673	training	333.4066667
674	training	332.31
675	training	335.05
676	training	334.6466667
677	training	334.8833333
678	training	335.5266667
679	training	335.2666667
680	training	335.5966667
681	training	335.4033333
682	training	336.5333333
683	training	336.17
684	training	335.7966667
685	training	336.4433333
686	training	336.1125
687	training	335.2266667
688	training	335.7233333
689	training	335.2933333
690	training	335.1266667
691	training	334.6566667
692	training	335.03
693	training	335.5033333
694	training	333.22
695	training	333.6366667
696	training	333.0233333
697	training	333.8633333
698	training	333.43
699	training	331.6825
700	training	331.2066667
701	training	331.76
702	training	330.1766667
703	training	330.15
704	training	330.2666667
705	training	327.9333333
706	training	329.9533333
707	training	326.2933333
708	training	327.2166667
709	training	326.28
710	training	325.845
711	training	324.5566667
712	training	323.1033333
713	training	322.67
714	training	322.0866667
715	training	322.1666667
716	training	318.94
717	training	320.1933333
718	training	317.7666667
719	training	316.405
720	training	316.9833333
721	training	315.6533333
722	training	314.42
723	training	313.31
724	training	312.0766667
725	training	311.6366667
726	training	310.0633333
727	training	309.4075
728	training	307.38
729	training	307.2233333
730	training	307.72
731	training	305.11
732	training	302.96
733	training	301.9966667
734	training	300.4325
735	training	299.8666667
736	training	297.03
737	training	293.7933333
738	training	294.27
739	training	292.7433333
740	training	291.3575
741	training	289.9166667
742	training	287.8666667
743	training	287.3766667
744	training	284.0066667
745	training	282.6133333
746	training	278.205
747	training	278.48
748	training	274.8466667
749	training	274.0366667
750	training	272.6233333
751	training	270.5233333
752	training	268.255
753	training	265.5
754	training	265.23
755	training	263.25
756	training	261.7633333
757	training	260.4133333
758	training	256.905
759	training	255.1533333
760	training	254.8633333
761	training	251.0633333
